gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
pnn1$SPAC26F1.02.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
pcf2$SPAC26H5.03.1$-1.80426199314193$3,2,1$1$1$-0.76634764543191$-1$1$0.333333333333333
pot1$SPAC26H5.06.1$0$1,2$1$1$-3.51051602370564$1$1$1
SPAC26H5.07c$SPAC26H5.07c.1$-0.315081046639895$2,1$1$1$-0.712507031861618$-1$1$1
smd1$SPAC27D7.07c.1$0$1,2$1$1$-0.115698943378767$1$1$1
yih1$SPAC27E2.02.1$-1.46633706879343$2,1$1$1$-7.29929099149976$-1$1$1
prp10$SPAC27F1.09c.1$0$1,2$1$1$-379.12373479532$1$1$1
prp19$SPAC29A4.08c.1$0$1,2$1$1$-7.98948642508278$1$1$1
SPAC29A4.09$SPAC29A4.09.1$-0.116410351844411$2,1$1$1$-0.212792744581926$-1$1$1
SPAC29A4.14c$SPAC29A4.14c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
prw1$SPAC29A4.18.1$-1.16162525649684$2,1$1$1$-3.68426663230688$-1$1$1
pof11$SPAC29E6.01.1$0$1,2$1$1$-0.891614198476317$1$1$1
tbp1$SPAC29E6.08.1$-9.4894050111447$3,2,1$1$1$-184.130205262561$-1$1$0.333333333333333
smd2$SPAC2C4.03c.1$-4.29181147785934$2,3,1$1$1$-4.11533330740855$-0.5$0.5$1
SPAC2C4.06c$SPAC2C4.06c.1$0$1,2$2$1$0$1$1$1
SPAC2C4.09$SPAC2C4.09.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
csc4$SPAC2C4.10c.1$-3.43398720448515$2,1$1$1$-3.07127391066654$-1$1$1
plp1$SPAC2F3.12c.1$-17.6031368026925$3,4,2,1$1$1$-46.0642600602857$-0.8$0.8$0.333333333333333
lsm6$SPAC2F3.17c.1$0$1,2$1$1$-50.7270460889647$1$1$1
SPAC2F3.18c$SPAC2F3.18c.1$-0.76432345902784$2,1$1$1$-2.26165178572302$-1$1$1
mrf1$SPAC2F7.17.1$0$1,2$1$1$-8.36720849442934$1$1$1
vps4$SPAC2G11.06.1$0$1,2,3$1$1$-1.43744795356338$1$1$0.333333333333333
ptc3$SPAC2G11.07c.1$-1.09258817406473$2,1$1$1$-7.27621925496692$-1$1$1
uba42$SPAC2G11.10c.1$-4.70953020131233$2,1$1$1$-9.16543007141162$-1$1$1
prh1$SPAC2G11.11c.1$-1.53393035992596$2,1$1$1$-2.42770016378926$-1$1$1
erv14$SPAC30C2.05.1$-7.5002867669475$3,2,1$1$1$-12.8098968070223$-1$1$0.333333333333333
ddx27$SPAC30D11.03.1$-0.646627164925053$2,1$1$1$-0.578418824111348$-1$1$1
